City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
5,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
8,Rikitea,PF,76.86,light rain,-23.1203,-134.9692,People ThankYou
10,Carnarvon,AU,72.28,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
13,Ponta Do Sol,PT,69.01,overcast clouds,32.6667,-17.1,Hotel do Campo
15,Meridian,US,74.98,broken clouds,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
20,Hilo,US,89.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
25,Arraial Do Cabo,BR,66.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
28,Niquero,CU,79.45,broken clouds,20.0431,-77.5828,Islazul Niquero
29,Namibe,AO,68.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
33,Karratha,AU,77.85,clear sky,-20.7377,116.8463,ibis Styles Karratha
34,Jinji,CN,81.61,scattered clouds,23.2281,110.8261,
